id;amount;payment_type;online_pg_type;pg_txn_id;pg_status;offline_txn_id;offline_txn_details;offline_txn_collected_by;offline_txn_clearing_status;payment_date;payment_init_time;payment_update_time;payment_status;created_on;created_by;updated_on;updated_by
1;22138;UPI;PayTM;Fantastic granular recontextualize;Games proactive;Advanced Paradigm;Principal magnetic Borders;generation Dynamic;Berkshire Fresh EXE;copy hack Chips;2021-12-08;2021-12-08;Pending;2021-12-08;HDD Computers primary;2021-12-08;Wooden JBOD
2;47293;PayTM;PayTM;synthesizing copying;Home eyeballs;Stravenue;infomediaries Incredible GB;Synergistic input primary;transparent bypassing;compressing Loan;2021-12-08;2021-12-08;Pending;2021-12-08;Liberian invoice;2021-12-08;utilisation
3;24267;Cash;PayTM;Licensed Palestinian;circuit;Analyst withdrawal Borders;reboot online;Wyoming Concrete Card;Small;Towels;2021-12-07;2021-12-08;Initiated;2021-12-08;bluetooth Regional Shirt;2021-12-07;Fish
4;17761;Cash;PayTM;Drive;contextually-based;Arabia Loan;Quality Borders RAM;Phased Guernsey;Motorway Uganda;interactive bandwidth-monitored panel;2021-12-08;2021-12-08;Initiated;2021-12-08;Central optimizing;2021-12-07;Hampshire program
5;42668;PayTM;PayTM;Shoes Buckinghamshire;Borders Naira;Buckinghamshire Florida;Senior Auto;Massachusetts attitude bleeding-edge;Practical French;Administrator Divide Generic;2021-12-07;2021-12-08;Pending;2021-12-08;full-range National Soap;2021-12-08;Home purple Fish
6;10777;UPI;PayTM;Optimized Danish;world-class Account generating;array Chair;Home;Lock Plastic;Eritrea Cotton;utilize Frozen;2021-12-08;2021-12-08;Success;2021-12-07;Oregon;2021-12-08;Paradigm Common Principal
7;69059;Cheque;PayTM;infrastructures;Customer GB;PCI withdrawal;modular;content Streamlined;sensor Consultant Tools;silver;2021-12-07;2021-12-07;Pending;2021-12-08;full-range;2021-12-07;withdrawal facilitate infrastructures
8;70795;Online;RazorPay;red Coordinator matrix;deposit strategic Applications;Operations;SMS;Infrastructure Flats;Steel Ball Account;Loan Account Bacon;2021-12-08;2021-12-08;Pending;2021-12-08;Handmade;2021-12-08;zero Account
9;54474;Cheque;PayTM;calculating;IB;payment success hacking;encryption;green Account Executive;index innovative;Dynamic;2021-12-08;2021-12-08;Initiated;2021-12-07;heuristic;2021-12-08;scalable implementation
10;85526;Draft;RazorPay;withdrawal Carolina SDD;Soap blue tertiary;Brand Buckinghamshire;Avon interfaces ADP;Wooden redundant;panel;tolerance;2021-12-07;2021-12-08;Initiated;2021-12-08;Group;2021-12-08;Throughway global
