id;cancelation_type;cancellation_reason;cancellation_date;cancellation_time;refund_id;cancellation_status;created_on;created_by;updated_on;updated_by
1;ByFarmer;Sleek;Berkshire;2021-12-08;Jersey;Rejected;2021-12-08;Associate withdrawal synthesizing;2021-12-08;AI Expanded human-resource
2;ByFarmer;Metal;Dynamic virtual;2021-12-08;Antarctica Movies;Approved;2021-12-08;Salad Switchable SAS;2021-12-08;generate foreground innovate
3;ByAgent;bypass time-frame;Granite Skyway New;2021-12-08;panel withdrawal transmitter;Init;2021-12-08;Tuvalu website;2021-12-08;Way Bike Salad
4;ByAgent;help-desk discrete calculate;Washington bandwidth withdrawal;2021-12-08;ADP;RefundInitited;2021-12-07;Soft Dynamic;2021-12-07;auxiliary 1080p
5;ByBuyerAfterDelivery;Coordinator content;copy invoice Cambridgeshire;2021-12-08;Pike;RefundCompleted;2021-12-07;State) Unbranded Paradigm;2021-12-08;schemas deposit
6;ByBuyerAfterDelivery;Fantastic Networked help-desk;Solutions;2021-12-08;Highway payment payment;Approved;2021-12-08;Oklahoma Lead;2021-12-08;index
7;ByBuyerBeforeDelivery;Car architectures;transmitter Internal Computer;2021-12-08;withdrawal Wyoming capacitor;Approved;2021-12-08;Planner bus;2021-12-08;Engineer Borders Cotton
8;ByFarmer;intranet;SAS Steel;2021-12-08;SAS;RefundInitited;2021-12-07;Fish Public-key;2021-12-08;azure navigate
9;ByAgent;Avon;FTP Corporate tolerance;2021-12-08;Republic productize;RefundCompleted;2021-12-08;homogeneous Beauty;2021-12-08;Fantastic
10;ByAgent;digital;Soft Exclusive;2021-12-07;6th;Init;2021-12-07;reboot gold;2021-12-08;adapter
