id;start_date;end_date;bidding_status;min_price;max_price;min_quantity_kg;max_quantity_kg;is_active;created_on;created_by;updated_on;updated_by
1;Maine;Metal;Completed;49388;17227;51119;37550;true;2021-12-07;Representative infrastructure;2021-12-08;Dynamic Licensed
2;Designer;Guinea niches;Completed;96929;12779;91145;40398;false;2021-12-08;deliver Frozen;2021-12-08;payment
3;Tuna lime;silver;Sold;91822;88869;73257;69777;true;2021-12-08;Refined Florida paradigms;2021-12-08;Bedfordshire
4;bypassing;Chips copy;New;43672;53395;61488;78946;true;2021-12-08;Computer;2021-12-07;infomediaries
5;Consultant;Awesome Computer Home;Completed;40599;15911;76343;57222;true;2021-12-08;Man invoice;2021-12-08;Paraguay Handmade hack
6;Berkshire;Pants;New;95321;16528;79063;53644;false;2021-12-08;deliver Handmade port;2021-12-08;HTTP Botswana Home
7;Cape bypassing wireless;XML card;Sold;64370;71790;45659;77655;false;2021-12-08;Baby whiteboard Orchestrator;2021-12-07;Computer HDD impactful
8;Electronics Tennessee;capacitor;Completed;34554;58651;83623;12131;true;2021-12-08;calculating yellow;2021-12-08;tangible Outdoors payment
9;Steel;COM Tuna;New;4688;36811;27129;93083;true;2021-12-08;HDD white;2021-12-08;architecture grid-enabled Kong
10;end-to-end;deposit;InProgress;32795;34697;78998;53534;true;2021-12-08;maroon;2021-12-08;Officer
