id;accepted_price;cod_amount;quantity_kg;needed_by;accepted_delivery_date;created_on;created_by;updated_on;updated_by;status
1;48469;32217;74058;reboot Rupiah payment;Handcrafted Legacy Berkshire;2021-12-08;Cambridgeshire virtual HDD;2021-12-08;RSS;Delivered
2;3682;37759;40818;Legacy Account;Creek hack Path;2021-12-07;multi-tasking Jewelery;2021-12-08;overriding web-enabled;Returned
3;59271;85604;9776;Grove client-server;Corners;2021-12-07;Table impactful;2021-12-08;Hryvnia;New
4;49498;87034;46979;channels;Mobility Hryvnia;2021-12-08;TCP;2021-12-08;Uruguay virtual Granite;ReturnInitiatedAfterDelivery
5;67223;49154;91977;invoice bypassing Table;object-oriented visionary Ball;2021-12-07;hacking;2021-12-07;primary;Refunded
6;28162;18225;11686;rich;copy;2021-12-08;France tertiary ivory;2021-12-07;overriding SDR Utah;Cancelled
7;6526;87215;50306;quantifying Nebraska solid;firmware Communications;2021-12-08;Networked;2021-12-08;Administrator Carolina local;Cancelled
8;89018;26243;92762;bluetooth Table;North;2021-12-08;Account analyzing;2021-12-08;Argentina mobile;ReturnInitiatedAfterDelivery
9;36215;50599;80113;Stand-alone Money input;Bedfordshire West;2021-12-08;Avon Quality Enhanced;2021-12-08;Global Regional Marketing;ReturnInitiatedAfterDelivery
10;52803;68071;69900;Home;Refined;2021-12-08;infrastructure CFA Awesome;2021-12-08;withdrawal Berkshire Cambridgeshire;New
