id;name;image_url;mobile_image_url;landing_url;description;html;mobile_html;is_active;start_date;end_date;created_on;created_by;updated_on;updated_by
1;Avon;Car online Hat;generating Interactions ROI;synthesizing Facilitator Small;ADP;collaboration Facilitator Music;GB reserved Industrial;true;Usability Valley;lime;2021-12-07;cohesive black;2021-12-08;Planner Walks
2;Chair;compress e-markets;Israeli Sleek;Bacon expedite Computers;eyeballs Interactions;Common Kina Oregon;explicit input;true;eco-centric;1080p;2021-12-08;Brook;2021-12-08;Soap
3;Central;bandwidth;Incredible;Market;Nigeria hack Bike;GB online Grocery;application;false;GB Directives;B2B driver River;2021-12-08;Seamless;2021-12-08;Music
4;Refined Bacon microchip;Greens invoice;Accountability web;Chicken microchip Steel;Plastic Automotive;plug-and-play firewall Light;application Industrial;false;Democratic Beauty Avon;Shirt synthesize Monaco;2021-12-07;Devolved Enterprise-wide indigo;2021-12-08;24/7 Silver synthesize
5;user-facing Czech;Mill customer compressing;loyalty efficient;hacking Dakota Electronics;web-enabled Shirt maroon;Paraguay Account;Serbia Paradigm Camp;true;Libyan;mobile;2021-12-08;Uganda;2021-12-08;e-business
6;Chief Kenyan;hack;Borders;synthesizing;Extensions Toys Lebanese;SDD;Ukraine SMTP;true;Intelligent context-sensitive Books;Versatile secondary;2021-12-08;compressing Designer International;2021-12-07;PNG
7;mission-critical Pound;Loan;IB Granite Down-sized;utilize Health Computers;JBOD Buckinghamshire;Belgium;Ergonomic;false;Sleek Isle neutral;Connecticut;2021-12-08;info-mediaries Producer transmit;2021-12-08;Metal Cotton calculate
8;Points;primary migration navigating;Borders white;enable Brook auxiliary;Frozen Persistent;transform Plastic;payment;false;Principal Connecticut Rustic;Cape Table CSS;2021-12-08;Pass responsive;2021-12-08;Investment Shilling deposit
9;systematic Future;online;Unbranded;EXE;Sausages;synthesize;reciprocal Village infrastructures;true;Plain Hat;optical Technician;2021-12-08;Nevada;2021-12-08;multi-byte networks
10;THX Health port;transitional;port Metrics Regional;Metal Automotive complexity;Personal;National;Exclusive Outdoors;true;Optional Brand;iterate Tuna Designer;2021-12-08;Tajikistan;2021-12-08;Future
