id;min_price;max_price;quantity_kg;expiry;avialable_from;description;stock_status;is_open_for_bidding;created_on;created_by;updated_on;updated_by
1;40;43;67982;2023-01-26;2022-01-26;Basmati Raice;New;TRUE;2021-12-08;admin;2021-12-08;admin
2;30;40;68521;2023-01-26;2022-01-26;Baskathi Rice;New;FALSE;2021-12-08;admin;2021-12-08;admin
3;28;35;93647;2023-01-26;2022-01-26;Kollam Rice;PartialSold;FALSE;2021-12-08;admin;2021-12-08;admin
4;38;45;94138;2023-01-26;2022-01-26;Basmati Rice;New;TRUE;2021-12-08;admin;2021-12-08;admin
5;18;23;85323;2023-01-26;2022-01-26;White Mustard;New;TRUE;2021-12-08;admin;2021-12-08;admin
6;14;20;95670;2023-01-26;2022-01-26;Black Mustard;New;TRUE;2021-12-08;admin;2021-12-08;admin
7;13;20;85941;2023-01-26;2022-01-26;Black Mustard;New;FALSE;2021-12-08;admin;2021-12-08;admin
8;60;70;91715;2023-01-26;2022-01-26;Masoor Daal;PartialSold;FALSE;2021-12-08;admin;2021-12-08;admin
9;40;45;74732;2023-01-26;2022-01-26;Basmati Raice;New;FALSE;2021-12-08;admin;2021-12-08;admin
10;112;130;16752;2023-01-26;2022-01-26;Clove;PartialSold;FALSE;2021-12-08;admin;2021-12-08;admin
