id;tag;is_active;created_on;created_by;updated_on;updated_by
1;North open-source Account;false;2021-12-08;Somalia pixel;2021-12-07;Corporate Handcrafted
2;Monitored intangible Rustic;true;2021-12-07;optical systemic Regional;2021-12-08;Dinar District bleeding-edge
3;Home;true;2021-12-07;quantifying Delaware Mouse;2021-12-08;Refined
4;secured payment;true;2021-12-08;hacking;2021-12-08;Supervisor compressing port
5;repurpose;false;2021-12-08;back Handmade;2021-12-08;extensible
6;silver Uruguayo;true;2021-12-08;Avon California;2021-12-07;bi-directional Rustic
7;Internal Program Music;false;2021-12-08;success Buckinghamshire transmitter;2021-12-08;connect program compressing
8;Egyptian;true;2021-12-08;microchip;2021-12-08;deposit B2B Liaison
9;Corporate payment Awesome;false;2021-12-08;transmitter Implementation withdrawal;2021-12-08;one-to-one Business-focused Granite
10;Divide;true;2021-12-07;deposit ROI;2021-12-08;Ford Chips transition
