id;min_price;max_price;quantity_kg;needed_by;description;created_on;created_by;updated_on;updated_by;status
1;20777;1016;24915;Frozen Refined alarm;Sausages digital optical;2021-11-26;Shirt Kina;2021-11-26;Luxembourg Market FTP;Cancelled
2;67995;75426;15349;Infrastructure New;Handcrafted hack;2021-11-26;solution-oriented withdrawal Arizona;2021-11-26;Granite empowering;Rejected
3;26124;40416;61503;Hat;Avon;2021-11-26;Cotton;2021-11-26;software Intelligent Taiwan;Accepted
4;83697;74468;58176;facilitate fault-tolerant;feed Persistent;2021-11-25;redundant mission-critical withdrawal;2021-11-26;Berkshire Investment Philippines;Accepted
5;3835;57086;28466;Tools Synchronised;synergistic redundant;2021-11-26;protocol backing;2021-11-26;Account innovate;Accepted
6;20765;88009;33967;Tools challenge;withdrawal definition New;2021-11-26;Refined Ford;2021-11-26;Concrete Som;Accepted
7;44936;27053;53342;Forward Ball;Eritrea;2021-11-26;Bike Steel IB;2021-11-25;Concrete;Refunded
8;63392;9907;8395;calculate Books generate;Assurance;2021-11-26;Metal Carolina;2021-11-26;Iran Account Proactive;Rejected
9;56837;20490;12527;THX;protocol;2021-11-26;Bedfordshire IB Chicken;2021-11-26;needs-based Auto;New
10;1023;21950;73864;Concrete;tolerance Implementation;2021-11-26;open-source Investor Shore;2021-11-26;hack architectures navigating;InTransit
