id;bid_price;quantity_kg;bid_status;created_on;created_by;updated_on;updated_by
1;85017;67753;New;2021-12-07;paradigms conglomeration;2021-12-08;User-friendly leading Tools
2;50281;66596;New;2021-12-08;New Consultant Hat;2021-12-08;TCP
3;36108;70316;InTransit;2021-12-08;Executive Cotton RSS;2021-12-08;Cotton Jersey multi-byte
4;2216;94547;Delivered;2021-12-08;bricks-and-clicks Forward;2021-12-07;payment
5;62580;66369;Paid;2021-12-07;Account;2021-12-07;visualize Steel
6;32144;51007;New;2021-12-08;firewall;2021-12-08;Practical 1080p
7;79539;74753;Expired;2021-12-08;Quality;2021-12-08;connect Small North
8;81829;20840;InTransit;2021-12-08;Money;2021-12-08;Public-key Wooden Valleys
9;54912;15404;Expired;2021-12-08;connect;2021-12-08;Division Dollar Coordinator
10;41215;16478;Delivered;2021-12-08;zero;2021-12-08;tertiary rich transmit
